user_id,signup_date,segment,target_role,resume_uploaded,assessment_completed,roadmap_generated,first_task_completed,d7_active,d30_active
U00063,2026-02-26,Fresh graduate,Product Manager,1,1,0,0,0,0
U00064,2026-05-16,Fresh graduate,Product Manager,1,1,1,0,0,0
U00065,2026-06-08,Fresh graduate,Marketing,1,1,0,0,0,0
U00066,2026-05-11,Fresh graduate,Product Manager,1,0,0,0,0,0
U00067,2026-06-12,Fresh graduate,Software Engineer,1,0,0,0,0,0
U00068,2026-01-20,Final-year student,Product Manager,1,1,0,0,0,0
U00069,2026-04-29,Final-year student,Product Manager,1,1,1,0,0,0
U00070,2026-06-29,Final-year student,Product Manager,1,0,0,0,0,0
U00071,2026-04-07,Final-year student,Product Manager,1,1,1,0,0,0
U00072,2026-06-19,Final-year student,Product Manager,1,1,1,0,0,0
U00073,2026-03-04,Working professional,Product Manager,1,1,1,1,0,0
U00074,2026-06-11,Final-year student,Product Manager,1,1,1,0,0,0
U00075,2026-06-18,Final-year student,Marketing,1,1,1,1,0,0
U00076,2026-04-23,Final-year student,Product Manager,1,1,1,0,0,0
U00077,2026-05-07,Final-year student,Product Manager,1,1,1,1,1,0
U00078,2026-04-05,Fresh graduate,Product Manager,1,1,1,0,0,0
U00079,2026-02-27,Fresh graduate,Product Manager,1,1,1,0,0,0
U00080,2026-04-07,Fresh graduate,Software Engineer,1,1,1,0,0,0
U00081,2026-06-23,Fresh graduate,Product Manager,1,1,1,1,0,0
U00082,2026-01-03,Final-year student,Software Engineer,0,0,0,0,0,0
U00083,2026-02-06,Working professional,Product Manager,1,1,0,0,0,0
U00084,2026-03-31,Final-year student,Product Manager,0,0,0,0,0,0
U00085,2026-03-03,Final-year student,Marketing,1,1,1,0,0,0
U00086,2026-04-23,Final-year student,Product Manager,1,0,0,0,0,0
U00087,2026-03-06,Fresh graduate,Data Analyst,0,0,0,0,0,0
U00088,2026-04-29,Fresh graduate,Product Manager,0,0,0,0,0,0
U00089,2026-01-20,Final-year student,Marketing,1,1,1,1,1,1
U00090,2026-03-01,Fresh graduate,Product Manager,1,0,0,0,0,0
U00091,2026-05-05,Final-year student,Product Manager,1,1,1,1,1,1
U00092,2026-03-26,Fresh graduate,Data Analyst,1,1,0,0,0,0
U00093,2026-05-09,Final-year student,Product Manager,0,0,0,0,0,0
U00094,2026-04-25,Final-year student,Product Manager,1,1,1,1,0,0
U00095,2026-03-01,Final-year student,Marketing,1,1,1,1,0,0
U00096,2026-03-19,Fresh graduate,Software Engineer,1,1,0,0,0,0
U00097,2026-06-23,Final-year student,Software Engineer,1,1,0,0,0,0
U00098,2026-06-23,Final-year student,Software Engineer,1,1,1,1,0,0
U00099,2026-01-07,Final-year student,Data Analyst,1,1,1,0,0,0
U00100,2026-05-07,Working professional,Data Analyst,1,1,0,0,0,0
U00101,2026-03-30,Working professional,Software Engineer,1,1,1,0,0,0
U00102,2026-01-01,Fresh graduate,Product Manager,1,1,0,0,0,0
U00103,2026-04-25,Final-year student,Product Manager,1,1,1,0,0,0
U00104,2026-01-05,Working professional,Software Engineer,1,1,1,1,0,0
U00105,2026-02-27,Fresh graduate,Data Analyst,1,1,0,0,0,0
U00106,2026-05-05,Fresh graduate,Product Manager,1,1,0,0,0,0
U00107,2026-05-27,Final-year student,Product Manager,1,1,1,1,0,0
U00108,2026-03-16,Final-year student,Product Manager,1,0,0,0,0,0
U00109,2026-05-26,Final-year student,Product Manager,0,0,0,0,0,0
U00110,2026-06-01,Working professional,Data Analyst,0,0,0,0,0,0
U00111,2026-03-22,Fresh graduate,Product Manager,1,1,0,0,0,0
U00112,2026-02-01,Final-year student,Software Engineer,1,1,0,0,0,0
U00113,2026-04-29,Final-year student,Data Analyst,1,1,1,1,1,0
U00114,2026-01-03,Fresh graduate,Marketing,1,1,1,0,0,0
U00115,2026-06-10,Final-year student,Product Manager,1,0,0,0,0,0
U00116,2026-03-11,Working professional,Marketing,1,0,0,0,0,0
U00117,2026-05-17,Fresh graduate,Software Engineer,1,1,1,1,0,0
U00118,2026-05-13,Fresh graduate,Data Analyst,1,1,0,0,0,0
U00119,2026-03-27,Final-year student,Product Manager,1,0,0,0,0,0
U00120,2026-06-24,Fresh graduate,Product Manager,1,0,0,0,0,0
U00121,2026-05-24,Fresh graduate,Software Engineer,1,1,1,0,0,0
U00122,2026-06-09,Fresh graduate,Product Manager,1,1,0,0,0,0
U00123,2026-01-17,Final-year student,Product Manager,1,1,1,1,0,0
U00124,2026-03-29,Final-year student,Software Engineer,1,1,1,0,0,0
U00125,2026-06-21,Final-year student,Software Engineer,0,0,0,0,0,0
U00126,2026-05-27,Fresh graduate,Product Manager,1,1,1,0,0,0
U00127,2026-03-23,Final-year student,Product Manager,1,1,1,0,0,0
U00128,2026-01-13,Final-year student,Product Manager,1,1,1,1,0,0
U00129,2026-02-20,Final-year student,Marketing,1,0,0,0,0,0
U00130,2026-04-14,Fresh graduate,Marketing,1,1,1,1,0,0
U00131,2026-04-26,Final-year student,Product Manager,1,1,1,0,0,0
U00132,2026-06-16,Working professional,Product Manager,0,0,0,0,0,0
U00133,2026-01-17,Fresh graduate,Product Manager,1,1,0,0,0,0
U00134,2026-03-13,Final-year student,Product Manager,1,1,0,0,0,0
U00135,2026-02-18,Fresh graduate,Data Analyst,1,1,1,1,1,0
U00136,2026-06-22,Final-year student,Product Manager,1,0,0,0,0,0
U00137,2026-01-30,Working professional,Product Manager,1,1,0,0,0,0
U00138,2026-02-09,Fresh graduate,Product Manager,1,1,0,0,0,0
U00139,2026-02-23,Fresh graduate,Product Manager,1,1,1,0,0,0
U00140,2026-01-20,Final-year student,Data Analyst,1,1,0,0,0,0
U00141,2026-04-26,Fresh graduate,Software Engineer,1,1,1,1,0,0
U00142,2026-04-05,Fresh graduate,Software Engineer,1,1,0,0,0,0
U00143,2026-04-11,Working professional,Product Manager,1,0,0,0,0,0
U00144,2026-06-13,Fresh graduate,Marketing,1,0,0,0,0,0
U00145,2026-03-19,Fresh graduate,Product Manager,1,1,1,0,0,0
U00146,2026-02-26,Final-year student,Data Analyst,1,1,1,1,0,0
U00147,2026-03-09,Final-year student,Data Analyst,1,1,1,0,0,0
U00148,2026-05-25,Fresh graduate,Product Manager,0,0,0,0,0,0
U00149,2026-04-06,Final-year student,Data Analyst,1,1,1,0,0,0
U00150,2026-01-31,Final-year student,Product Manager,1,1,1,0,0,0
U00151,2026-05-05,Working professional,Software Engineer,1,1,1,1,1,0
U00152,2026-05-15,Working professional,Product Manager,1,1,1,1,0,0
U00153,2026-02-14,Final-year student,Product Manager,1,1,1,0,0,0
U00154,2026-04-11,Fresh graduate,Product Manager,0,0,0,0,0,0
U00155,2026-04-12,Final-year student,Product Manager,1,1,0,0,0,0
U00156,2026-02-01,Fresh graduate,Product Manager,0,0,0,0,0,0
U00157,2026-01-02,Final-year student,Product Manager,1,1,0,0,0,0
U00158,2026-05-10,Fresh graduate,Software Engineer,0,0,0,0,0,0
U00159,2026-04-21,Fresh graduate,Product Manager,1,1,1,0,0,0
U00160,2026-05-09,Fresh graduate,Product Manager,1,1,0,0,0,0
U00161,2026-03-09,Final-year student,Marketing,1,1,1,1,1,0
U00162,2026-04-03,Working professional,Marketing,1,1,1,0,0,0
U00163,2026-06-26,Final-year student,Product Manager,1,0,0,0,0,0
U00164,2026-02-10,Final-year student,Product Manager,1,1,0,0,0,0
U00165,2026-04-28,Fresh graduate,Software Engineer,1,1,1,0,0,0
U00166,2026-01-24,Final-year student,Software Engineer,1,1,1,1,0,0
U00167,2026-01-12,Working professional,Product Manager,1,0,0,0,0,0
U00168,2026-06-22,Working professional,Software Engineer,1,0,0,0,0,0
U00169,2026-01-24,Final-year student,Product Manager,1,1,1,0,0,0
U00170,2026-04-29,Working professional,Product Manager,1,0,0,0,0,0
U00171,2026-04-03,Final-year student,Software Engineer,1,1,0,0,0,0
U00172,2026-05-26,Fresh graduate,Software Engineer,1,1,1,1,0,0
U00173,2026-04-09,Final-year student,Data Analyst,1,1,1,1,0,0
U00174,2026-05-06,Working professional,Product Manager,1,1,1,1,0,0
U00175,2026-06-10,Final-year student,Product Manager,1,1,0,0,0,0
U00176,2026-05-30,Final-year student,Product Manager,1,0,0,0,0,0
U00177,2026-05-10,Final-year student,Product Manager,1,1,1,1,1,1
U00178,2026-01-30,Working professional,Product Manager,0,0,0,0,0,0
U00179,2026-01-31,Working professional,Product Manager,1,0,0,0,0,0
U00180,2026-03-31,Fresh graduate,Product Manager,1,1,1,1,0,0
U00181,2026-04-29,Working professional,Software Engineer,0,0,0,0,0,0
U00182,2026-05-01,Working professional,Product Manager,0,0,0,0,0,0
U00183,2026-05-22,Fresh graduate,Product Manager,1,1,1,0,0,0
U00184,2026-01-19,Final-year student,Software Engineer,1,1,0,0,0,0
U00185,2026-02-01,Fresh graduate,Product Manager,1,1,1,0,0,0
U00186,2026-01-27,Fresh graduate,Data Analyst,1,1,1,0,0,0
U00187,2026-04-08,Final-year student,Product Manager,1,1,1,0,0,0
U00188,2026-04-25,Final-year student,Product Manager,1,1,0,0,0,0
U00189,2026-01-21,Fresh graduate,Data Analyst,1,1,1,0,0,0
U00190,2026-06-06,Final-year student,Software Engineer,1,1,1,0,0,0
U00191,2026-02-24,Working professional,Software Engineer,0,0,0,0,0,0
U00192,2026-04-29,Final-year student,Software Engineer,1,1,0,0,0,0
U00193,2026-05-16,Final-year student,Product Manager,1,1,1,0,0,0
U00194,2026-01-07,Working professional,Software Engineer,1,1,0,0,0,0
U00195,2026-06-05,Final-year student,Data Analyst,1,1,1,1,0,0
U00196,2026-06-24,Final-year student,Marketing,1,0,0,0,0,0
U00197,2026-06-22,Fresh graduate,Product Manager,1,1,1,1,0,0
U00198,2026-01-26,Working professional,Product Manager,1,0,0,0,0,0
U00199,2026-03-12,Final-year student,Data Analyst,1,0,0,0,0,0
U00200,2026-02-11,Final-year student,Product Manager,1,1,1,1,1,1
U00201,2026-03-23,Fresh graduate,Product Manager,1,1,1,0,0,0
U00202,2026-06-25,Working professional,Product Manager,1,1,1,0,0,0
U00203,2026-05-18,Fresh graduate,Product Manager,1,0,0,0,0,0
U00204,2026-05-19,Final-year student,Product Manager,1,1,0,0,0,0
U00205,2026-03-17,Final-year student,Product Manager,1,1,1,1,0,0
U00206,2026-06-18,Final-year student,Product Manager,1,0,0,0,0,0
U00207,2026-06-15,Final-year student,Product Manager,1,0,0,0,0,0
U00208,2026-05-26,Fresh graduate,Marketing,1,1,1,1,0,0
U00209,2026-05-27,Final-year student,Product Manager,1,0,0,0,0,0
U00210,2026-04-28,Fresh graduate,Product Manager,1,1,1,0,0,0
U00211,2026-01-18,Fresh graduate,Product Manager,1,1,1,0,0,0
U00212,2026-02-21,Fresh graduate,Product Manager,1,1,1,1,0,0
U00213,2026-05-19,Final-year student,Marketing,1,1,1,0,0,0
U00214,2026-02-28,Working professional,Marketing,1,1,1,0,0,0
U00215,2026-02-01,Fresh graduate,Product Manager,1,1,1,1,0,0
U00216,2026-06-20,Fresh graduate,Product Manager,1,1,0,0,0,0
U00217,2026-03-29,Final-year student,Product Manager,0,0,0,0,0,0
U00218,2026-06-04,Final-year student,Product Manager,1,0,0,0,0,0
U00219,2026-02-21,Working professional,Product Manager,1,0,0,0,0,0
U00220,2026-03-06,Final-year student,Product Manager,1,1,1,0,0,0
U00221,2026-03-03,Final-year student,Product Manager,1,1,1,1,0,0
U00222,2026-03-09,Fresh graduate,Software Engineer,1,1,1,1,1,0
U00223,2026-03-20,Fresh graduate,Product Manager,1,1,1,0,0,0
U00224,2026-02-23,Working professional,Product Manager,1,1,0,0,0,0
U00225,2026-05-27,Final-year student,Product Manager,1,1,0,0,0,0
U00226,2026-02-28,Working professional,Product Manager,1,0,0,0,0,0
U00227,2026-03-21,Final-year student,Product Manager,1,1,1,1,0,0
U00228,2026-06-04,Fresh graduate,Product Manager,1,0,0,0,0,0
U00229,2026-03-20,Fresh graduate,Product Manager,1,0,0,0,0,0
U00230,2026-01-02,Final-year student,Product Manager,0,0,0,0,0,0
U00231,2026-01-01,Final-year student,Data Analyst,1,0,0,0,0,0
U00232,2026-03-20,Final-year student,Marketing,1,1,1,1,1,0
U00233,2026-04-27,Working professional,Product Manager,1,1,1,0,0,0
U00234,2026-06-19,Fresh graduate,Product Manager,1,0,0,0,0,0
U00235,2026-01-24,Working professional,Software Engineer,0,0,0,0,0,0
U00236,2026-04-08,Working professional,Software Engineer,0,0,0,0,0,0
U00237,2026-02-22,Fresh graduate,Product Manager,1,1,0,0,0,0
U00238,2026-03-23,Fresh graduate,Product Manager,1,1,1,0,0,0
U00239,2026-03-21,Final-year student,Product Manager,1,1,0,0,0,0
U00240,2026-02-26,Final-year student,Software Engineer,1,1,1,1,0,0
U00241,2026-01-04,Working professional,Product Manager,1,1,1,0,0,0
U00242,2026-01-14,Fresh graduate,Product Manager,0,0,0,0,0,0
U00243,2026-04-05,Final-year student,Product Manager,1,1,0,0,0,0
U00244,2026-02-10,Fresh graduate,Product Manager,1,1,1,1,0,0
U00245,2026-02-28,Fresh graduate,Product Manager,1,1,1,1,1,0
U00246,2026-01-17,Working professional,Software Engineer,1,1,1,1,1,1
U00247,2026-01-09,Fresh graduate,Product Manager,1,0,0,0,0,0
U00248,2026-01-23,Final-year student,Product Manager,1,0,0,0,0,0
U00249,2026-03-09,Final-year student,Product Manager,1,1,0,0,0,0
U00250,2026-01-30,Final-year student,Data Analyst,0,0,0,0,0,0
U00251,2026-02-11,Fresh graduate,Product Manager,1,1,0,0,0,0
U00252,2026-02-24,Working professional,Product Manager,1,1,1,1,1,0
U00253,2026-02-22,Fresh graduate,Product Manager,1,1,0,0,0,0
U00254,2026-01-02,Final-year student,Data Analyst,1,1,1,1,0,0
U00255,2026-01-22,Final-year student,Data Analyst,1,1,1,1,0,0
U00256,2026-06-21,Fresh graduate,Data Analyst,0,0,0,0,0,0
U00257,2026-05-01,Working professional,Software Engineer,0,0,0,0,0,0
U00258,2026-01-23,Final-year student,Product Manager,1,1,0,0,0,0
U00259,2026-02-21,Final-year student,Product Manager,0,0,0,0,0,0
U00260,2026-03-10,Fresh graduate,Product Manager,1,1,1,1,0,0
U00261,2026-06-13,Final-year student,Software Engineer,1,1,0,0,0,0
U00262,2026-06-08,Working professional,Software Engineer,1,0,0,0,0,0
U00263,2026-05-19,Final-year student,Product Manager,1,0,0,0,0,0
U00264,2026-01-20,Final-year student,Data Analyst,1,1,1,0,0,0
U00265,2026-03-30,Working professional,Product Manager,1,1,1,1,0,0
U00266,2026-03-29,Final-year student,Product Manager,1,1,1,1,0,0
U00267,2026-04-25,Final-year student,Product Manager,1,1,1,1,0,0
U00268,2026-06-02,Final-year student,Data Analyst,1,1,1,1,1,0
U00269,2026-02-27,Final-year student,Marketing,1,1,1,1,0,0
U00270,2026-04-11,Final-year student,Product Manager,0,0,0,0,0,0
U00271,2026-02-17,Final-year student,Marketing,1,1,1,0,0,0
U00272,2026-02-07,Final-year student,Data Analyst,1,1,0,0,0,0
U00273,2026-02-26,Final-year student,Data Analyst,0,0,0,0,0,0
U00274,2026-05-13,Fresh graduate,Data Analyst,1,1,1,0,0,0
U00275,2026-03-20,Fresh graduate,Product Manager,1,1,1,1,1,0
U00276,2026-05-03,Final-year student,Data Analyst,1,1,0,0,0,0
U00277,2026-05-05,Final-year student,Software Engineer,1,1,0,0,0,0
U00278,2026-03-07,Fresh graduate,Software Engineer,1,0,0,0,0,0
U00279,2026-06-21,Working professional,Product Manager,1,1,0,0,0,0
U00280,2026-01-09,Working professional,Software Engineer,1,1,1,0,0,0
U00281,2026-06-11,Final-year student,Marketing,1,0,0,0,0,0
U00282,2026-01-02,Final-year student,Product Manager,1,1,1,1,0,0
U00283,2026-03-10,Final-year student,Marketing,1,1,1,1,0,0
U00284,2026-05-29,Final-year student,Product Manager,1,1,1,0,0,0
U00285,2026-05-04,Fresh graduate,Product Manager,1,1,1,0,0,0
U00286,2026-02-27,Final-year student,Product Manager,1,1,0,0,0,0
U00287,2026-06-09,Final-year student,Data Analyst,0,0,0,0,0,0
U00288,2026-01-25,Final-year student,Software Engineer,1,1,1,1,1,0
U00289,2026-05-01,Fresh graduate,Product Manager,1,1,1,0,0,0
U00290,2026-04-04,Final-year student,Software Engineer,1,1,0,0,0,0
U00291,2026-02-07,Working professional,Product Manager,1,1,1,1,0,0
U00292,2026-06-15,Final-year student,Product Manager,1,1,0,0,0,0
U00293,2026-05-18,Working professional,Data Analyst,1,1,1,1,0,0
U00294,2026-01-02,Final-year student,Software Engineer,1,0,0,0,0,0
U00295,2026-01-16,Working professional,Data Analyst,1,0,0,0,0,0
U00296,2026-01-11,Working professional,Software Engineer,1,1,0,0,0,0
U00297,2026-03-16,Working professional,Marketing,1,1,0,0,0,0
U00298,2026-03-17,Working professional,Product Manager,1,1,1,0,0,0
U00299,2026-05-11,Fresh graduate,Product Manager,1,0,0,0,0,0
U00300,2026-05-02,Fresh graduate,Product Manager,1,1,1,1,0,0
U00301,2026-01-03,Fresh graduate,Software Engineer,1,1,1,0,0,0
U00302,2026-03-27,Final-year student,Software Engineer,1,1,0,0,0,0
U00303,2026-05-22,Fresh graduate,Software Engineer,1,1,1,0,0,0
U00304,2026-06-11,Fresh graduate,Product Manager,1,0,0,0,0,0
U00305,2026-02-22,Working professional,Product Manager,1,0,0,0,0,0
U00306,2026-01-08,Fresh graduate,Software Engineer,1,1,1,0,0,0
U00307,2026-01-28,Final-year student,Marketing,0,0,0,0,0,0
U00308,2026-03-03,Fresh graduate,Product Manager,1,1,1,1,0,0
U00309,2026-03-21,Final-year student,Product Manager,1,0,0,0,0,0
U00310,2026-03-05,Final-year student,Product Manager,0,0,0,0,0,0
U00311,2026-01-17,Fresh graduate,Product Manager,1,1,0,0,0,0
U00312,2026-03-03,Final-year student,Product Manager,1,1,1,1,0,0
U00313,2026-02-22,Final-year student,Product Manager,1,1,0,0,0,0
U00314,2026-03-29,Final-year student,Software Engineer,1,1,1,0,0,0
U00315,2026-01-15,Final-year student,Product Manager,1,1,0,0,0,0
U00316,2026-05-23,Final-year student,Product Manager,1,1,0,0,0,0
U00317,2026-03-17,Final-year student,Product Manager,1,0,0,0,0,0
U00318,2026-02-27,Fresh graduate,Marketing,1,1,1,1,0,0
U00319,2026-06-13,Final-year student,Product Manager,1,1,0,0,0,0
U00320,2026-05-15,Working professional,Product Manager,1,0,0,0,0,0
U00321,2026-01-25,Working professional,Product Manager,1,1,1,0,0,0
U00322,2026-01-27,Fresh graduate,Software Engineer,1,1,0,0,0,0
U00323,2026-01-01,Final-year student,Data Analyst,1,1,0,0,0,0
U00324,2026-04-11,Fresh graduate,Product Manager,1,1,1,1,0,0
U00325,2026-03-05,Working professional,Product Manager,1,1,0,0,0,0
U00326,2026-03-09,Fresh graduate,Product Manager,1,0,0,0,0,0
U00327,2026-04-02,Working professional,Software Engineer,1,1,0,0,0,0
U00328,2026-04-08,Fresh graduate,Marketing,1,1,1,0,0,0
U00329,2026-01-01,Fresh graduate,Product Manager,1,1,0,0,0,0
U00330,2026-01-20,Final-year student,Product Manager,1,1,1,1,0,0
U00331,2026-05-23,Fresh graduate,Data Analyst,0,0,0,0,0,0
U00332,2026-06-21,Final-year student,Software Engineer,1,1,1,1,0,0
U00333,2026-05-31,Fresh graduate,Product Manager,1,1,0,0,0,0
U00334,2026-06-13,Working professional,Product Manager,0,0,0,0,0,0
U00335,2026-03-25,Final-year student,Product Manager,1,1,1,1,1,0
U00336,2026-05-29,Fresh graduate,Data Analyst,1,1,1,1,1,0
U00337,2026-06-08,Final-year student,Software Engineer,1,1,0,0,0,0
U00338,2026-06-10,Fresh graduate,Software Engineer,1,1,0,0,0,0
U00339,2026-01-27,Final-year student,Data Analyst,1,1,1,1,1,0
U00340,2026-01-27,Working professional,Product Manager,1,1,1,0,0,0
U00341,2026-03-14,Final-year student,Product Manager,1,0,0,0,0,0
U00342,2026-04-01,Working professional,Product Manager,1,0,0,0,0,0
U00343,2026-06-22,Working professional,Data Analyst,1,1,0,0,0,0
U00344,2026-02-27,Fresh graduate,Software Engineer,1,1,0,0,0,0
U00345,2026-05-30,Fresh graduate,Product Manager,0,0,0,0,0,0
U00346,2026-06-09,Fresh graduate,Product Manager,1,1,1,0,0,0
U00347,2026-06-23,Working professional,Software Engineer,1,1,1,1,1,0
U00348,2026-02-04,Final-year student,Software Engineer,1,1,1,1,0,0
U00349,2026-02-13,Fresh graduate,Software Engineer,1,1,1,1,0,0
U00350,2026-02-09,Final-year student,Product Manager,1,1,1,1,1,0
U00351,2026-05-13,Fresh graduate,Marketing,1,1,0,0,0,0
U00352,2026-05-04,Final-year student,Data Analyst,1,1,1,1,0,0
U00353,2026-03-15,Fresh graduate,Software Engineer,1,1,0,0,0,0
U00354,2026-01-17,Fresh graduate,Software Engineer,1,1,1,0,0,0
U00355,2026-04-04,Fresh graduate,Marketing,1,1,1,0,0,0
U00356,2026-05-12,Fresh graduate,Marketing,1,1,1,1,1,0
U00357,2026-03-27,Fresh graduate,Software Engineer,1,0,0,0,0,0
U00358,2026-02-18,Fresh graduate,Product Manager,0,0,0,0,0,0
U00359,2026-04-17,Fresh graduate,Product Manager,1,1,1,0,0,0
U00360,2026-04-29,Fresh graduate,Data Analyst,1,1,1,0,0,0
U00361,2026-04-17,Working professional,Software Engineer,0,0,0,0,0,0
U00362,2026-06-07,Final-year student,Product Manager,1,1,1,0,0,0
U00363,2026-02-26,Final-year student,Product Manager,1,1,1,0,0,0
U00364,2026-04-20,Final-year student,Marketing,1,1,0,0,0,0
U00365,2026-06-03,Fresh graduate,Data Analyst,1,1,1,0,0,0
U00366,2026-02-08,Final-year student,Marketing,1,1,0,0,0,0
U00367,2026-02-20,Fresh graduate,Product Manager,1,1,0,0,0,0
U00368,2026-01-09,Fresh graduate,Data Analyst,0,0,0,0,0,0
U00369,2026-03-09,Final-year student,Data Analyst,1,1,1,1,0,0
U00370,2026-01-09,Working professional,Product Manager,1,1,0,0,0,0
U00371,2026-05-15,Fresh graduate,Product Manager,1,1,1,1,0,0
U00372,2026-01-16,Final-year student,Marketing,0,0,0,0,0,0
U00373,2026-05-05,Final-year student,Product Manager,1,1,1,0,0,0
U00374,2026-04-15,Final-year student,Software Engineer,1,1,0,0,0,0
U00375,2026-06-27,Final-year student,Software Engineer,1,1,1,0,0,0
U00376,2026-03-04,Final-year student,Software Engineer,1,1,0,0,0,0
U00377,2026-03-04,Working professional,Product Manager,1,1,1,1,0,0
U00378,2026-02-13,Final-year student,Software Engineer,1,0,0,0,0,0
U00379,2026-04-07,Final-year student,Product Manager,1,1,1,0,0,0
U00380,2026-02-09,Fresh graduate,Data Analyst,1,1,1,0,0,0
U00381,2026-01-21,Fresh graduate,Product Manager,1,1,1,0,0,0
U00382,2026-06-20,Working professional,Software Engineer,1,1,1,1,0,0
U00383,2026-05-03,Fresh graduate,Data Analyst,0,0,0,0,0,0
U00384,2026-01-22,Fresh graduate,Product Manager,1,1,1,0,0,0
U00385,2026-04-22,Final-year student,Product Manager,1,0,0,0,0,0
U00386,2026-02-24,Working professional,Data Analyst,1,0,0,0,0,0
U00387,2026-02-02,Fresh graduate,Product Manager,1,1,0,0,0,0
